id,role,industry,experience_level,years_experience,education_level,resume_text,technical_skills,project_count,certification_count,github_projects,salary_expectation,location,selected,interview_score,ats_score,culture_fit_score
443,UI/UX Designer,Healthcare,Senior,14,High School,"Experienced UI/UX Designer with 4 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",4,1,1,77407,Remote,True,0.4019196600256267,50,0.465575414459272
444,Frontend Developer,Finance,Junior,6,High School,"Experienced Frontend Developer with 2 years in software development. Proficient in JavaScript, React, TypeScript, Vue.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'React', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",2,3,4,119870,Remote,True,0.3434840316302783,77,0.45419529056716135
445,Product Manager,Healthcare,Principal,2,Master,"Experienced Product Manager with 6 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",3,0,7,66429,Hybrid,False,0.3780055704126695,73,0.8901758744084797
446,Android Developer,Manufacturing,Lead,1,Master,"Experienced Android Developer with 5 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",4,0,1,136250,Hybrid,False,0.6240537208683274,41,0.5150272972953697
447,Data Engineer,Education,Mid,13,Master,"Experienced Data Engineer with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",6,3,11,147278,Hybrid,False,0.6308237768438556,45,0.8096817460619286
448,Frontend Developer,Technology,Entry,14,High School,"Experienced Frontend Developer with 1 years in software development. Proficient in CSS, Vue.js, HTML, TypeScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",9,4,12,96275,Hybrid,True,0.9877577654728174,83,0.9610775480277002
449,Security Engineer,Technology,Junior,3,High School,"Experienced Security Engineer with 2 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",7,0,12,113966,Hybrid,False,0.9218425238494408,82,0.7321844919185281
450,Product Manager,Technology,Principal,12,Master,"Experienced Product Manager with 6 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",1,1,4,133074,Remote,False,0.5644442824789206,44,0.8928818801938236
451,DevOps Engineer,Finance,Mid,2,High School,"Experienced DevOps Engineer with 3 years in software development. Proficient in CI/CD, Terraform, Docker, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Terraform', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",4,4,6,94442,On-site,False,0.3165333843053679,74,0.6914171791035004
452,Security Engineer,Education,Lead,12,Bachelor,"Experienced Security Engineer with 5 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",9,1,0,96152,Remote,False,0.7175491141114873,52,0.5490431023216539
453,Data Scientist,Finance,Entry,8,Bachelor,"Experienced Data Scientist with 1 years in software development. Proficient in Scikit-learn, SQL, Tableau, Pandas. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Pandas', 'Tableau']",6,1,7,85277,Hybrid,False,0.45114181918814306,88,0.4698074273953676
454,Product Manager,Healthcare,Mid,2,High School,"Experienced Product Manager with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",3,2,3,59078,On-site,False,0.8444331229799549,68,0.6009172912955426
455,Data Engineer,Manufacturing,Lead,12,Bachelor,"Experienced Data Engineer with 5 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",6,3,8,135329,On-site,False,0.510137756470608,57,0.5415321780909857
456,ML Engineer,E-commerce,Junior,14,High School,"Experienced ML Engineer with 2 years in software development. Proficient in Docker, MLOps, TensorFlow, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",5,1,18,119749,Remote,False,0.9643529492729781,51,0.8054129907380717
457,Mobile Developer,Manufacturing,Junior,0,High School,"Experienced Mobile Developer with 2 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",6,0,7,31088,On-site,True,0.4387818956646619,57,0.558969577110625
458,Data Scientist,Finance,Principal,12,Master,"Experienced Data Scientist with 6 years in software development. Proficient in NumPy, SQL, Python, Pandas. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Experienced']",9,3,10,121452,Hybrid,True,0.6064585636133628,70,0.8147602667058239
459,Security Engineer,Healthcare,Lead,3,High School,"Experienced Security Engineer with 5 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",5,3,1,131037,Hybrid,False,0.6792981419664422,87,0.8637730067164576
460,Frontend Developer,Healthcare,Entry,14,Master,"Experienced Frontend Developer with 1 years in software development. Proficient in React, JavaScript, Angular, Vue.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'React', 'Strong', 'Proficient', 'Angular', 'Frontend', 'Developer', 'Led']",6,2,0,52040,On-site,False,0.5772482615907963,71,0.9247068639619789
461,DevOps Engineer,Healthcare,Entry,1,High School,"Experienced DevOps Engineer with 1 years in software development. Proficient in CI/CD, AWS, Docker, Ansible. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Ansible', 'Experienced']",6,3,16,45808,Hybrid,False,0.34656731302193855,94,0.5601129984574853
462,Backend Developer,Finance,Principal,5,Master,"Experienced Backend Developer with 6 years in software development. Proficient in SQL, Node.js, PostgreSQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Backend', 'Experienced']",7,4,15,87901,Hybrid,True,0.523049837237358,56,0.6776200140618602
463,Product Manager,Healthcare,Principal,11,PhD,"Experienced Product Manager with 6 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",5,0,11,94203,On-site,False,0.9116932828124105,68,0.7970993016926806
464,Security Engineer,Healthcare,Mid,1,Master,"Experienced Security Engineer with 3 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",3,3,4,129626,Remote,True,0.6718339651053697,87,0.9533493421841829
465,Security Engineer,Technology,Entry,9,PhD,"Experienced Security Engineer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",3,2,7,36972,Hybrid,False,0.8673003038913762,86,0.9144129199194438
466,Backend Developer,Healthcare,Lead,8,High School,"Experienced Backend Developer with 5 years in software development. Proficient in PostgreSQL, Spring, Node.js, Django. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Node', 'Strong', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend', 'Django']",6,3,16,63532,On-site,False,0.322948273112647,70,0.727268668474885
467,Backend Developer,Healthcare,Principal,1,PhD,"Experienced Backend Developer with 6 years in software development. Proficient in Java, Node.js, Django, Spring. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Node', 'Strong', 'Django', 'Proficient', 'Developer', 'Led', 'Spring', 'Backend']",1,0,11,80864,On-site,False,0.5067775518369366,70,0.9704331578378019
468,Project Manager,Finance,Lead,9,PhD,"Experienced Project Manager with 5 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",6,1,18,50838,Remote,True,0.4255666212319486,67,0.8824131798092025
469,Frontend Developer,Technology,Mid,5,PhD,"Experienced Frontend Developer with 3 years in software development. Proficient in Vue.js, HTML, CSS, TypeScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",9,0,19,106027,Hybrid,False,0.5797411140789133,40,0.455005623762397
470,Security Engineer,Manufacturing,Lead,8,Master,"Experienced Security Engineer with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",1,2,18,129035,Hybrid,False,0.8122044223678395,57,0.9178231580911569
471,Full Stack Developer,Education,Entry,1,High School,"Experienced Full Stack Developer with 1 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",4,2,1,104226,Hybrid,False,0.3043908548732142,57,0.6097299822290407
472,Frontend Developer,Technology,Lead,2,High School,"Experienced Frontend Developer with 5 years in software development. Proficient in JavaScript, React, HTML, TypeScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['React', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",8,0,9,94740,Remote,False,0.7652111733654035,64,0.8695734255606998
473,Security Engineer,Manufacturing,Lead,12,Master,"Experienced Security Engineer with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",4,1,17,132961,On-site,True,0.5788707524862685,52,0.6181659811036899
474,Product Manager,Manufacturing,Senior,2,Bachelor,"Experienced Product Manager with 4 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",6,4,14,60320,On-site,False,0.7065156493214741,78,0.6408532883722473
475,ML Engineer,Education,Junior,1,Bachelor,"Experienced ML Engineer with 2 years in software development. Proficient in AWS, Python, Docker, TensorFlow. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",3,4,18,110499,On-site,False,0.974559528115174,56,0.5652378978337838
476,UI/UX Designer,Technology,Principal,6,PhD,"Experienced UI/UX Designer with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",2,4,4,125895,Hybrid,False,0.48677474571188206,81,0.6254920946340649
477,Data Engineer,Education,Principal,0,Bachelor,"Experienced Data Engineer with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",9,2,7,125745,Hybrid,False,0.9037138315068729,71,0.45672959833674226
478,UI/UX Designer,Healthcare,Senior,0,High School,"Experienced UI/UX Designer with 4 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",9,0,13,96647,On-site,True,0.6578354228887233,88,0.8093881640389535
479,DevOps Engineer,Education,Principal,14,Master,"Experienced DevOps Engineer with 6 years in software development. Proficient in AWS, Docker, Terraform, Jenkins. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Terraform', 'Jenkins', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Experienced']",8,2,8,62237,Remote,True,0.6498411536606232,49,0.49795553405597315
480,Security Engineer,E-commerce,Principal,3,High School,"Experienced Security Engineer with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",5,1,0,122903,Remote,False,0.7000539728079409,92,0.9628638202271247
481,Android Developer,E-commerce,Principal,12,Master,"Experienced Android Developer with 6 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",2,2,14,70874,Hybrid,False,0.36539130533251185,64,0.8215925931181309
482,QA Tester,E-commerce,Mid,4,PhD,"Experienced QA Tester with 3 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",9,0,5,34931,On-site,False,0.4315768336132025,87,0.8896074829578299
483,Mobile Developer,Education,Mid,1,High School,"Experienced Mobile Developer with 3 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",9,2,3,55786,Hybrid,False,0.8237169137903129,86,0.7458694706432131
484,Mobile Developer,Education,Senior,13,Master,"Experienced Mobile Developer with 4 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",4,3,14,46699,Hybrid,True,0.8386963858273742,86,0.7266188806786946
485,ML Engineer,Technology,Senior,11,High School,"Experienced ML Engineer with 4 years in software development. Proficient in TensorFlow, Kubernetes, Docker, AWS. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Kubernetes']",6,2,10,78551,Remote,True,0.4949025057364697,75,0.8720517566607606
486,Data Engineer,Technology,Senior,1,High School,"Experienced Data Engineer with 4 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",1,3,13,93329,On-site,False,0.7326130618393837,86,0.706741246491734
487,Frontend Developer,Technology,Junior,6,High School,"Experienced Frontend Developer with 2 years in software development. Proficient in HTML, JavaScript, React, Vue.js. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Vue', 'React', 'Strong', 'Proficient', 'Frontend', 'Developer', 'Led', 'Experienced']",5,4,2,115075,On-site,False,0.8105243867377574,60,0.607216808842945
488,UI/UX Designer,E-commerce,Junior,5,Master,"Experienced UI/UX Designer with 2 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",9,1,3,96858,On-site,False,0.8850738228529229,74,0.6104890574484645
489,UI/UX Designer,E-commerce,Entry,13,Master,"Experienced UI/UX Designer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",2,0,10,101061,Hybrid,True,0.8902714959555564,73,0.8028733593235748
490,QA Tester,Manufacturing,Mid,6,High School,"Experienced QA Tester with 3 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",9,0,16,65566,On-site,False,0.3093383856118276,61,0.6843358005437179
491,Full Stack Developer,Manufacturing,Mid,11,Bachelor,"Experienced Full Stack Developer with 3 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",3,3,19,73227,Hybrid,False,0.872793596663088,66,0.6767373780565633
492,Data Scientist,Education,Principal,0,Master,"Experienced Data Scientist with 6 years in software development. Proficient in TensorFlow, NumPy, Scikit-learn, Tableau. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Scikit', 'Proficient', 'Led', 'Tableau', 'Experienced']",4,1,6,148429,On-site,False,0.4346819058988568,69,0.6940682737138775
493,Data Scientist,E-commerce,Lead,7,High School,"Experienced Data Scientist with 5 years in software development. Proficient in SQL, Pandas, NumPy, TensorFlow. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Data', 'Strong', 'Scientist', 'Proficient', 'Led', 'Pandas', 'Experienced']",9,2,6,105559,On-site,True,0.8356412641733022,59,0.8227030426063431
494,ML Engineer,E-commerce,Lead,7,Master,"Experienced ML Engineer with 5 years in software development. Proficient in Kubernetes, PyTorch, Docker, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Experienced', 'Python', 'Strong', 'Proficient', 'Docker', 'Engineer', 'Led', 'Kubernetes']",9,1,8,119326,Hybrid,False,0.41664083536691093,43,0.6973112957299394
495,Cloud Architect,Healthcare,Lead,7,Master,"Experienced Cloud Architect with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",2,0,16,114527,Hybrid,False,0.4117820762192979,94,0.41321775224513435
496,Android Developer,Manufacturing,Senior,13,PhD,"Experienced Android Developer with 4 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",3,3,3,34396,Remote,True,0.8484747980373679,44,0.8609039948963575
497,QA Tester,Healthcare,Entry,14,Bachelor,"Experienced QA Tester with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",7,2,18,119112,Hybrid,False,0.8648402387973917,94,0.45914887178521346
498,UI/UX Designer,E-commerce,Principal,6,High School,"Experienced UI/UX Designer with 6 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Designer', 'Python', 'Strong', 'Proficient', 'Led', 'Experienced']",6,0,10,145365,Hybrid,False,0.9318585027924153,48,0.7633844376983334
499,Full Stack Developer,E-commerce,Mid,2,PhD,"Experienced Full Stack Developer with 3 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",5,4,7,109276,On-site,False,0.960777309122598,44,0.9241411957813005
500,Android Developer,Healthcare,Lead,9,Bachelor,"Experienced Android Developer with 5 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Android', 'Experienced']",7,2,19,98872,On-site,True,0.790666626782357,50,0.45778766773021057
501,Data Engineer,Finance,Principal,12,Master,"Experienced Data Engineer with 6 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",6,4,0,33237,Hybrid,True,0.4193414302972099,80,0.75316845186993
502,Full Stack Developer,Finance,Entry,1,PhD,"Experienced Full Stack Developer with 1 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",9,4,16,91264,Hybrid,True,0.505611775196706,70,0.8894055347368847
503,Data Engineer,Technology,Mid,0,Bachelor,"Experienced Data Engineer with 3 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",9,3,17,31755,Hybrid,False,0.6852204254479395,92,0.8041895563423028
504,Mobile Developer,Education,Mid,7,Master,"Experienced Mobile Developer with 3 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",8,3,15,130100,Remote,False,0.8958160738565482,62,0.4689921207922617
505,Product Manager,E-commerce,Senior,9,Bachelor,"Experienced Product Manager with 4 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Led', 'Product', 'Manager', 'Experienced']",3,3,9,85764,On-site,False,0.32534403528889605,45,0.746511745140914
506,Security Engineer,Healthcare,Mid,7,High School,"Experienced Security Engineer with 3 years in software development. Proficient in SQL, JavaScript, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",1,1,4,91233,On-site,True,0.32929512464791877,40,0.7223313819038664
507,Cloud Architect,Healthcare,Senior,10,High School,"Experienced Cloud Architect with 4 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Architect', 'Led', 'Cloud', 'Experienced']",1,1,19,129322,Remote,False,0.5073542786063688,55,0.6228763021980532
508,Data Engineer,Technology,Entry,8,Bachelor,"Experienced Data Engineer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Data', 'Strong', 'Proficient', 'Engineer', 'Led', 'Experienced']",2,3,16,38201,Remote,False,0.5751328894446812,71,0.8454312598592904
509,QA Tester,Manufacturing,Lead,10,PhD,"Experienced QA Tester with 5 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",6,1,16,101984,On-site,False,0.3039239434236049,53,0.5553121831555589
510,QA Tester,Education,Lead,5,Bachelor,"Experienced QA Tester with 5 years in software development. Proficient in Python, SQL, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Tester', 'Led', 'Experienced']",2,2,19,138377,On-site,False,0.7648583702542189,47,0.6064939352973491
511,Security Engineer,Education,Lead,13,Master,"Experienced Security Engineer with 5 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",3,3,3,67071,Hybrid,False,0.7605835947515958,72,0.7153316391800995
512,Project Manager,E-commerce,Lead,1,High School,"Experienced Project Manager with 5 years in software development. Proficient in JavaScript, Python, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",7,4,7,32033,Remote,False,0.7566874107490542,52,0.7536014118823362
513,Full Stack Developer,Technology,Mid,1,Master,"Experienced Full Stack Developer with 3 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",7,4,5,124649,Hybrid,False,0.7852646074678686,70,0.7686236709122114
514,Mobile Developer,Technology,Entry,0,Bachelor,"Experienced Mobile Developer with 1 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Mobile', 'Experienced']",4,1,15,88582,On-site,True,0.6752893344329203,93,0.9199123784447318
515,Security Engineer,Education,Junior,13,PhD,"Experienced Security Engineer with 2 years in software development. Proficient in Python, JavaScript, SQL. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Python', 'Strong', 'Proficient', 'Engineer', 'Led', 'Security', 'Experienced']",9,4,16,58365,Hybrid,False,0.9210832038167194,60,0.6971598429238179
516,Full Stack Developer,Technology,Junior,13,Master,"Experienced Full Stack Developer with 2 years in software development. Proficient in JavaScript, SQL, Python. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Full', 'Python', 'Strong', 'Proficient', 'Developer', 'Led', 'Stack', 'Experienced']",3,3,9,44682,Remote,False,0.882938193998638,61,0.7589533068819754
517,Project Manager,Manufacturing,Junior,12,PhD,"Experienced Project Manager with 2 years in software development. Proficient in SQL, Python, JavaScript. Led multiple projects and collaborated with cross-functional teams. Strong problem-solving skills and ability to work in agile environments.","['Project', 'Python', 'Strong', 'Proficient', 'Led', 'Manager', 'Experienced']",9,0,17,149204,On-site,False,0.7826406306648618,55,0.5153355311569314
